time,open,high,low,close,volume,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2025-01-09 17:00:00+00:00,3.754,3.824,3.75,3.809,298108,,,,,
2025-01-09 18:00:00+00:00,3.808,3.809,3.724,3.745,262646,,,,,
2025-01-09 19:00:00+00:00,3.745,3.75,3.692,3.711,173288,,,,,
2025-01-09 20:00:00+00:00,3.7119999999999997,3.732,3.7039999999999997,3.711,47586,,,,,
2025-01-10 06:00:00+00:00,3.817,3.817,3.783,3.814,1716,,,,,
2025-01-10 07:00:00+00:00,3.814,3.848,3.794,3.847,136912,,,,,
2025-01-10 08:00:00+00:00,3.847,3.856,3.8289999999999997,3.833,78151,,,,,
2025-01-10 09:00:00+00:00,3.833,3.854,3.8209999999999997,3.83,80187,,,,,
2025-01-10 10:00:00+00:00,3.83,3.874,3.827,3.865,96375,,,,,
2025-01-10 11:00:00+00:00,3.865,3.867,3.8209999999999997,3.8529999999999998,118322,,,,,
2025-01-10 12:00:00+00:00,3.854,3.871,3.822,3.8289999999999997,130096,,,,,
2025-01-10 13:00:00+00:00,3.83,3.91,3.79,3.909,353943,,,,,
2025-01-10 14:00:00+00:00,3.909,3.9699999999999998,3.893,3.908,303478,,,,,
2025-01-10 15:00:00+00:00,3.908,3.9539999999999997,3.878,3.902,192607,,,,,
2025-01-10 16:00:00+00:00,3.9050000000000002,3.984,3.903,3.968,346412,,,,,
2025-01-10 17:00:00+00:00,3.969,4.002,3.914,3.99,342731,,,,,
2025-01-10 18:00:00+00:00,3.99,4.009,3.928,3.958,288184,,,,,
2025-01-10 19:00:00+00:00,3.958,3.99,3.951,3.967,118223,,,,,
2025-01-10 20:00:00+00:00,3.966,3.975,3.96,3.966,43583,,,,,
2025-01-13 06:00:00+00:00,4.096,4.096,4.038,4.09,3306,,,,,
2025-01-13 07:00:00+00:00,4.097,4.143,4.078,4.1370000000000005,135015,,,,,
2025-01-13 08:00:00+00:00,4.1370000000000005,4.19,4.124,4.182,101700,,,,,
2025-01-13 09:00:00+00:00,4.183,4.184,4.156,4.168,76029,,,,,
2025-01-13 10:00:00+00:00,4.169,4.194,4.129,4.135,146387,,,,,
2025-01-13 11:00:00+00:00,4.134,4.171,4.121,4.167,111179,,,,,
2025-01-13 12:00:00+00:00,4.167,4.179,4.064,4.109,299875,,,0.13188959097871278,,
2025-01-13 13:00:00+00:00,4.111,4.111,4.003,4.023,420033,,,0.11833348910120733,,
2025-01-13 14:00:00+00:00,4.022,4.031,3.92,3.957,470148,,,0.10109912450656688,,
2025-01-13 15:00:00+00:00,3.958,4.036,3.958,3.992,196047,,,0.08923631322009307,,
2025-01-13 16:00:00+00:00,3.99,4.01,3.935,3.955,234079,3.305507087981374,,0.07597358285923583,,
2025-01-13 17:00:00+00:00,3.955,3.988,3.867,3.904,333472,3.305507087981374,,0.06064838291429986,,
2025-01-13 18:00:00+00:00,3.904,3.911,3.848,3.88,262424,0.0,2.2036713919875828,0.046035780303147256,,
2025-01-13 19:00:00+00:00,3.88,3.9459999999999997,3.87,3.944,170828,5.465902627458355,2.9238032384799095,0.03916794885220787,,
2025-01-13 20:00:00+00:00,3.944,3.945,3.9210000000000003,3.93,45997,9.922089961019136,5.129330862825831,0.032224001717116924,-0.04495468877761505,0.07717869049473197
2025-01-14 06:00:00+00:00,3.827,3.871,3.827,3.827,3027,9.922089961019136,8.436694183165542,0.01819983798771929,-0.04718308200561015,0.06538291999332944
2025-01-14 07:00:00+00:00,3.826,3.836,3.801,3.82,163444,4.456187333560781,8.100122418533017,0.006446435202718259,-0.04714918783248895,0.05359562303520721
2025-01-14 08:00:00+00:00,3.82,3.823,3.801,3.809,76685,0.0,4.792759098193305,-0.0037130277792929434,-0.04584692065160012,0.04213389287230718
2025-01-14 09:00:00+00:00,3.809,3.809,3.779,3.805,93495,0.0,1.4853957778535936,-0.011949495611019323,-0.0432667107866612,0.03131721517564188
2025-01-14 10:00:00+00:00,3.8040000000000003,3.818,3.799,3.8120000000000003,67244,1.1027936147110786,0.36759787157035956,-0.0177079875519901,-0.039220162182105583,0.021512174630115486
2025-01-14 11:00:00+00:00,3.8129999999999997,3.832,3.762,3.792,202744,1.1027936147110786,0.7351957431407191,-0.0236132677045795,-0.036100353867755994,0.012487086163176491
